user_id,age,country,signup_days_ago,premium_user
157,69,Canada,453,0
158,43,USA,474,0
159,56,Australia,612,0
160,47,Australia,357,0
161,27,USA,758,0
162,51,Australia,180,0
163,36,Canada,442,0
164,22,UK,516,0
165,33,Australia,759,1
166,45,UK,896,0
167,37,USA,664,0
168,52,UK,380,0
169,68,Germany,427,1
170,20,India,577,1
171,27,Germany,43,0
172,30,USA,12,0
173,19,Australia,253,0
174,52,Australia,727,0
175,25,UK,605,1
176,43,Canada,418,0
177,24,India,196,0
178,67,Canada,493,1
179,53,USA,729,1
180,53,Australia,394,0
181,41,UK,192,0
182,52,Australia,548,0
183,56,Canada,96,0
184,49,Canada,37,0
185,30,India,279,1
186,58,India,798,1
187,37,UK,880,0
188,30,India,699,0
189,53,Canada,396,1
190,36,Canada,76,0
191,45,USA,718,0
192,69,Canada,851,0
193,33,UK,885,0
194,29,Germany,25,0
195,38,USA,484,1
196,33,USA,569,0
197,59,UK,186,0
198,48,UK,634,0
199,40,India,733,0
200,35,USA,751,0
201,27,India,954,0
202,55,Canada,519,0
203,57,USA,170,0
204,44,USA,634,0
205,46,Australia,165,0
206,25,Germany,496,1
207,39,USA,500,0
208,24,Canada,217,0
209,53,India,70,1
210,36,India,445,0
211,56,Australia,91,0
212,36,Germany,39,0
213,62,Canada,653,0
214,37,India,476,1
215,58,UK,935,1
216,30,Canada,348,1
217,66,Canada,409,1
218,55,Germany,117,1
219,61,India,685,1
220,64,Canada,149,0
221,38,Australia,203,1
222,53,Australia,227,0
223,35,India,47,0
224,31,Australia,143,0
225,20,UK,656,1
226,28,Germany,12,1
227,33,Australia,968,0
228,41,Australia,668,0
229,45,UK,676,0
230,67,Germany,540,0
231,58,Canada,740,1
232,34,Germany,201,0
233,37,USA,461,0
234,46,India,909,1
235,23,India,594,0
236,22,USA,815,1
237,27,UK,824,1
238,62,USA,5,0
239,50,Canada,374,1
240,49,Canada,239,0
241,38,India,282,0
242,39,Canada,827,1
243,30,India,929,0
244,52,USA,511,0
245,65,USA,823,1
246,34,Australia,709,1
247,55,Australia,771,0
248,54,USA,565,1
249,27,India,83,0
250,31,USA,457,0
251,68,USA,685,0
252,18,UK,881,1
253,51,USA,348,0
254,56,Canada,154,0
255,20,India,891,0
256,18,UK,54,1
257,47,Australia,734,1
258,34,Germany,624,0
259,40,India,207,1
260,31,Canada,578,1
261,56,India,422,0
262,51,Australia,806,0
263,35,Canada,798,0
264,68,Canada,447,1
265,55,Germany,481,1
266,47,India,759,0
267,34,Germany,133,1
268,27,Germany,184,1
269,34,India,508,0
270,22,USA,546,0
271,19,USA,205,0
272,60,Australia,752,0
273,64,Germany,761,0
274,33,UK,95,0
275,33,Germany,520,0
276,21,Germany,696,0
277,49,Germany,195,0
278,49,Australia,946,0
279,68,USA,403,1
280,35,Australia,604,0
281,39,Australia,405,0
282,22,Australia,233,0
283,63,USA,546,0
284,43,USA,813,0
285,43,Germany,249,0
286,39,Australia,239,0
287,60,UK,831,0
288,34,USA,26,1
289,25,India,625,0
290,69,India,719,0
291,39,India,526,0
292,40,Canada,78,0
293,62,Germany,666,0
294,68,India,7,0
295,40,Germany,750,1
296,62,India,274,0
297,52,UK,883,0
298,42,Germany,631,0
299,27,India,39,0
300,56,USA,86,0
301,61,Germany,537,1
302,37,Canada,25,0
303,20,USA,233,0
304,64,USA,228,0
305,51,Australia,623,1
306,66,Canada,748,0
307,58,USA,613,0
308,43,USA,320,0
309,62,India,966,0
310,50,India,437,0
311,23,Germany,582,0
312,21,Germany,350,0
313,47,Germany,607,0
314,26,India,759,0
315,48,Germany,40,0
316,41,USA,223,1
317,37,India,732,1
318,32,Germany,646,1
319,47,USA,504,1
320,19,Germany,847,0
321,43,UK,435,1
322,22,Germany,326,1
323,21,UK,787,0
324,37,Germany,113,0
325,18,Australia,90,1
326,55,Australia,805,0
327,53,Canada,845,0
328,50,Australia,902,0
329,27,Australia,261,0
330,61,Germany,898,0
331,19,India,596,0
332,54,India,329,1
333,28,UK,911,0
334,52,India,606,0
335,22,USA,318,1
336,67,Canada,334,1
337,28,Australia,137,0
338,52,Canada,547,1
339,39,USA,572,1
340,25,Australia,779,1
341,31,UK,828,0
342,38,USA,165,1
343,31,USA,410,1
344,42,Canada,749,0
345,35,Germany,296,0
346,57,Canada,526,1
347,55,Canada,865,1
348,32,India,993,0
349,50,USA,503,0
350,57,Canada,104,0
351,68,USA,198,1
352,24,India,179,0
353,69,USA,15,1
354,50,Canada,478,1
355,53,USA,157,0
356,50,Australia,997,1
357,50,India,254,0
358,19,Germany,522,0
359,27,USA,865,0
360,30,Canada,159,0
361,62,India,216,0
362,32,Canada,157,0
363,46,Canada,47,0
364,62,USA,130,0
365,68,Canada,755,0
366,43,USA,811,0
367,37,Germany,11,1
368,57,Australia,550,0
369,40,Canada,815,0
370,60,Canada,396,1
371,57,Canada,958,0
372,50,UK,623,1
373,60,UK,460,0
374,65,India,324,1
375,54,Australia,840,0
376,66,Australia,604,0
377,26,UK,51,1
378,57,India,297,1
379,40,UK,769,0
380,38,Germany,346,1
381,40,India,825,0
382,68,Australia,936,0
383,64,Australia,969,1
384,27,UK,436,1
385,43,Germany,937,0
386,69,UK,537,1
387,55,USA,386,0
388,44,USA,418,1
389,60,Germany,955,0
390,68,Canada,182,0
391,24,Canada,180,0
392,41,USA,161,0
393,60,USA,662,0
394,67,Canada,469,0
395,34,India,84,0
396,37,Canada,630,1
397,57,UK,561,0
398,49,India,141,0
399,68,UK,891,1
400,49,USA,670,0
401,62,India,477,0
402,57,UK,19,0
403,31,UK,371,0
404,19,India,502,0
405,67,Germany,222,0
406,21,Canada,897,0
407,56,Australia,643,0
408,27,UK,979,0
409,50,Canada,87,1
410,49,Australia,178,1
411,25,Canada,833,0
412,20,USA,984,0
413,25,Australia,54,0
414,54,Canada,579,1
415,45,UK,264,0
416,49,Australia,88,1
417,63,USA,491,1
418,69,India,165,0
419,31,UK,735,0
420,35,USA,7,0
421,50,USA,151,1
422,65,Australia,381,1
423,46,Canada,700,1
424,18,India,815,0
425,28,UK,746,1
426,20,UK,471,0
427,37,Canada,261,0
428,47,India,905,0
429,61,Australia,867,1
430,39,UK,364,0
431,27,India,158,0
432,63,Australia,727,1
433,34,Australia,882,0
434,31,UK,521,0
435,62,Canada,281,0
436,39,Germany,235,0
437,43,UK,442,1
438,51,USA,727,0
439,23,USA,146,0
440,59,Australia,356,0
441,51,Germany,17,0
442,55,UK,378,1
443,59,USA,342,0
444,48,USA,646,1
445,51,UK,268,0
446,24,India,906,1
447,43,Australia,981,0
448,63,UK,576,0
449,60,India,705,0
450,53,Australia,371,0
451,38,Germany,779,0
452,53,Canada,113,1
453,57,Australia,227,1
454,64,Germany,664,1
455,22,Canada,312,0
456,53,USA,751,0
457,52,USA,244,0
458,62,USA,482,0
459,19,Australia,501,0
460,57,India,17,0
461,60,Canada,616,0
462,56,USA,803,1
463,54,UK,108,0
464,47,Canada,102,0
465,36,Canada,613,0
466,66,India,957,1
467,66,Germany,815,0
468,33,India,216,1
469,48,USA,661,1
470,54,UK,374,0
471,25,UK,537,1
472,29,USA,655,0
473,58,UK,877,0
474,49,India,778,0
475,34,Australia,919,0
476,39,India,250,0
477,32,Australia,629,1
478,68,USA,688,0
479,40,UK,477,0
480,47,Canada,372,1
481,35,Germany,443,1
482,34,Canada,526,0
483,52,Australia,620,0
484,51,India,131,0
485,57,India,986,1
486,61,India,39,0
487,66,India,516,1
488,42,Germany,397,0
489,33,USA,493,0
490,19,India,311,0
491,51,Australia,414,0
492,30,UK,141,0
493,49,Germany,739,0
494,63,Australia,29,1
495,46,Australia,318,0
496,33,India,440,0
497,27,UK,926,0
498,56,India,340,1
499,47,Australia,689,0
500,31,USA,376,0
501,21,Germany,146,0
502,42,USA,432,0
503,63,Germany,975,0
504,66,India,889,0
505,29,India,187,1
506,54,Germany,939,0
507,56,UK,440,1
508,41,UK,11,1
509,51,India,153,1
510,21,India,571,0
511,46,USA,575,0
512,68,Australia,493,0
513,60,India,226,0
514,58,Germany,753,1
515,23,UK,517,0
516,64,UK,727,1
517,52,USA,20,1
518,59,UK,419,1
519,34,UK,216,1
520,52,Australia,998,0
521,64,Canada,89,0
522,31,Germany,357,0
523,58,Australia,952,0
524,45,Canada,541,1
525,42,UK,738,1
526,26,USA,463,0
527,22,USA,395,0
528,41,UK,124,0
529,25,India,251,1
530,43,Canada,914,0
531,65,UK,973,1
532,30,USA,593,0
533,62,USA,224,0
534,68,Canada,698,0
535,57,Germany,866,0
536,30,UK,749,1
537,41,Australia,147,1
538,45,UK,353,0
539,65,Germany,681,0
540,62,Canada,345,1
541,53,Canada,191,0
542,24,USA,133,1
543,68,Germany,31,1
544,27,Canada,672,0
545,47,India,551,0
546,53,UK,258,1
547,46,USA,524,0
548,49,Australia,525,0
549,66,Germany,233,0
550,48,USA,866,0
551,41,Canada,365,1
552,23,Canada,467,1
553,27,Australia,233,1
554,45,Australia,572,0
555,54,Australia,989,1
556,37,Australia,864,1
557,21,Australia,731,0
558,29,India,918,1
559,18,UK,22,0
560,35,Germany,306,1
561,64,USA,285,0
562,52,Australia,948,1
563,24,UK,29,0
564,23,Canada,879,0
565,68,UK,459,0
566,43,Australia,482,0
567,46,USA,516,0
568,30,Australia,489,0
569,46,UK,157,0
570,49,Canada,130,1
571,37,UK,22,0
572,20,Australia,849,1
573,45,Germany,989,1
574,33,UK,869,0
575,23,Germany,659,0
576,20,Australia,507,0
577,55,UK,527,1
578,52,Canada,832,1
579,41,India,524,0
580,61,India,208,0
581,63,Germany,985,1
582,25,Australia,591,0
583,67,Germany,199,0
584,61,Australia,693,1
585,20,Australia,916,1
586,42,India,734,0
587,34,Canada,894,0
588,53,Canada,521,0
589,39,UK,501,0
590,41,Germany,584,0
591,30,Canada,721,0
592,35,USA,990,0
593,63,UK,495,0
594,49,UK,11,0
595,50,India,102,1
596,28,Germany,214,1
597,58,Canada,401,0
598,63,Canada,672,0
599,39,Australia,92,1
600,27,UK,936,0
601,50,Germany,2,0
602,58,Germany,973,0
603,30,Germany,116,0
604,56,Australia,194,1
605,43,India,686,0
606,32,Canada,994,0
607,61,Germany,305,1
608,20,Australia,635,0
609,23,India,73,0
610,49,Australia,553,1
611,25,USA,840,1
612,37,UK,318,0
613,24,Canada,459,1
614,21,Australia,390,1
615,43,Australia,895,0
616,58,Canada,700,1
617,28,UK,978,0
618,40,USA,524,0
619,62,India,243,0
620,63,Australia,356,1
621,46,UK,631,0
622,49,India,307,0
623,23,India,914,0
624,54,India,352,0
625,20,USA,924,0
626,52,USA,445,0
627,32,India,353,1
628,66,Germany,862,1
629,41,Canada,404,0
630,45,USA,364,1
631,41,Germany,562,1
632,49,Germany,617,0
633,51,Australia,512,0
634,32,Canada,418,1
635,56,India,938,1
636,29,Australia,643,0
637,57,Australia,21,1
638,52,Germany,794,1
639,65,Germany,478,0
640,61,Germany,526,1
641,54,India,837,0
642,58,India,318,0
643,64,Australia,14,0
644,42,Australia,84,0
645,23,USA,145,0
646,45,USA,66,1
647,22,Germany,449,1
648,53,India,301,0
649,48,India,395,1
650,31,Australia,592,0
651,27,Canada,844,1
652,18,Germany,133,0
653,60,USA,972,1
654,37,Canada,284,0
655,54,India,687,0
656,54,USA,305,1
657,61,Germany,824,0
658,32,India,902,0
659,37,Germany,882,1
660,26,Australia,511,0
661,43,Canada,797,0
662,52,Canada,198,0
663,22,Canada,161,0
664,31,UK,12,0
665,67,Germany,216,0
666,51,Canada,217,0
667,56,Australia,223,0
668,60,Canada,178,0
669,55,Germany,852,0
670,62,Canada,308,1
671,59,Germany,892,0
672,67,India,341,0
673,25,Australia,669,0
674,22,Germany,495,0
675,51,Germany,193,1
676,43,UK,427,0
677,67,India,978,0
678,25,Australia,303,0
679,29,UK,987,1
680,63,Canada,964,0
681,36,Germany,287,0
682,65,Australia,69,0
683,45,India,962,1
684,23,UK,575,1
685,58,Germany,89,1
686,26,USA,757,0
687,58,Australia,971,1
688,55,UK,494,1
689,36,India,454,1
690,30,UK,279,0
691,28,UK,641,0
692,24,UK,601,0
693,18,Canada,76,0
694,32,USA,917,0
695,46,India,473,0
696,49,India,497,0
697,55,India,986,0
698,25,Germany,622,0
699,19,Australia,942,0
700,38,India,794,1
701,19,Australia,454,1
702,46,India,154,0
703,22,USA,994,0
704,32,Germany,300,0
705,60,Germany,944,0
706,63,UK,498,1
707,60,Canada,21,0
708,33,Germany,815,0
709,32,Germany,793,0
710,68,USA,783,0
711,30,India,470,0
712,31,Germany,893,0
713,69,Germany,494,0
714,64,Canada,156,0
715,33,Australia,106,0
716,35,USA,2,0
717,21,Canada,90,0
718,28,Germany,263,0
719,27,Germany,39,0
720,24,USA,959,0
721,59,UK,445,0
722,53,UK,84,0
723,24,Germany,822,0
724,62,Germany,362,0
725,30,Canada,887,0
726,38,Australia,726,0
727,43,Australia,521,0
728,41,Canada,378,0
729,59,Canada,584,1
730,66,India,154,0
731,21,Germany,50,1
732,53,India,60,0
733,42,UK,146,1
734,27,Germany,993,0
735,22,Germany,687,0
736,61,USA,226,0
737,38,Germany,977,0
738,54,UK,655,0
739,24,Australia,160,0
740,26,Australia,590,0
741,42,Germany,770,0
742,24,Australia,597,0
743,59,India,374,0
744,58,Germany,753,0
745,41,India,700,1
746,21,Canada,218,0
747,49,Canada,167,1
748,53,USA,744,0
749,53,Germany,899,0
750,50,Canada,891,0
751,56,Canada,708,0
752,19,Australia,956,1
753,44,USA,160,0
754,55,USA,712,0
755,61,Australia,381,0
756,39,Germany,838,0
757,61,India,770,0
758,52,Germany,354,0
759,69,India,264,0
760,53,USA,453,0
761,48,UK,303,0
762,33,Germany,618,0
763,33,UK,12,0
764,29,India,648,1
765,33,Germany,542,0
766,45,UK,627,0
767,22,UK,980,1
768,61,Germany,321,1
769,38,UK,84,0
770,35,Germany,456,1
771,50,UK,784,0
772,69,USA,738,0
773,53,Germany,481,0
774,62,USA,578,0
775,19,Australia,987,0
776,18,Canada,843,1
777,40,USA,666,0
778,23,UK,419,1
779,32,India,342,0
780,69,Australia,490,0
781,66,USA,42,0
782,62,Australia,803,0
783,59,USA,670,1
784,20,USA,848,0
785,31,India,73,0
786,52,India,578,0
787,52,USA,466,1
788,35,Canada,768,1
789,19,India,793,0
790,50,India,164,0
791,18,India,110,1
792,63,Germany,381,0
793,52,Australia,937,1
794,30,USA,117,0
795,38,Canada,994,0
796,32,India,580,0
797,29,Germany,800,0
798,45,Australia,653,1
799,37,UK,658,0
800,23,UK,672,0
801,19,India,60,0
802,48,Canada,517,1
803,27,Canada,345,0
804,28,Australia,690,0
805,32,Australia,457,0
806,26,USA,99,0
807,45,India,190,0
808,24,UK,80,0
809,50,USA,260,0
810,57,Canada,785,0
811,69,USA,221,0
812,55,UK,231,1
813,54,Canada,628,0
814,52,Australia,519,0
815,39,Germany,526,0
816,39,Germany,645,0
817,19,Australia,574,0
818,55,India,591,0
819,40,USA,826,0
820,22,Canada,65,0
821,43,Australia,242,0
822,35,Australia,997,1
823,53,India,465,0
824,28,USA,703,0
825,43,Australia,510,0
826,69,UK,624,1
827,57,Australia,227,0
828,69,Canada,925,0
829,38,USA,554,1
830,58,Canada,192,1
831,26,USA,425,0
832,65,UK,29,0
833,67,Canada,826,0
834,57,Germany,789,1
835,51,Australia,776,1
836,25,UK,945,0
837,40,USA,856,1
838,22,Canada,416,1
839,40,Australia,101,0
840,25,UK,505,1
841,18,USA,621,1
842,52,Germany,664,0
843,37,Germany,277,0
844,48,USA,366,1
845,69,Germany,399,1
846,68,UK,540,0
847,22,Australia,773,0
848,49,Germany,520,0
849,55,Australia,623,0
850,45,India,337,0
851,57,Germany,921,1
852,32,India,946,0
853,53,Australia,382,0
854,58,Canada,169,1
855,67,Australia,778,1
856,29,UK,859,1
857,30,Canada,693,1
858,33,Canada,288,0
859,51,Germany,523,0
860,34,Germany,936,0
861,26,Germany,665,0
862,31,Australia,124,0
863,67,Canada,790,0
864,37,UK,725,0
865,68,UK,686,0
866,38,India,995,0
867,47,USA,631,1
868,29,UK,233,0
869,38,Germany,397,0
870,25,India,302,1
871,24,Germany,663,0
872,28,Canada,256,0
873,60,Canada,345,1
874,46,Australia,781,0
875,46,Germany,213,1
876,44,UK,562,0
877,68,USA,407,1
878,30,Germany,278,0
879,50,UK,696,0
880,36,India,23,0
881,56,Germany,108,0
882,54,India,111,0
883,33,UK,584,0
884,22,UK,515,1
885,57,UK,483,0
886,59,UK,866,0
887,27,Canada,405,1
888,56,Australia,731,0
889,58,UK,112,1
890,69,Canada,932,0
891,43,USA,314,0
892,34,Canada,974,0
893,51,India,437,0
894,28,USA,912,0
895,23,India,824,0
896,21,Australia,623,0
897,37,Germany,906,1
898,52,Germany,154,0
899,38,Canada,822,0
900,38,India,202,0
901,21,Australia,188,1
902,37,Germany,273,0
903,21,Australia,221,0
904,41,Australia,741,0
905,69,Germany,900,0
906,41,Germany,162,0
907,36,USA,159,0
908,36,USA,817,0
909,36,UK,406,0
910,29,India,542,1
911,48,Germany,868,0
912,65,Australia,685,0
913,66,India,183,0
914,69,UK,113,0
915,64,Australia,971,1
916,62,Canada,161,0
917,21,UK,660,1
918,44,Germany,399,0
919,31,Canada,124,0
920,26,Canada,602,0
921,69,UK,573,1
922,20,Germany,973,1
923,47,Australia,254,0
924,23,Canada,849,1
925,68,UK,757,0
926,52,UK,302,0
927,22,Australia,349,0
928,37,Germany,49,0
929,22,UK,356,0
930,21,UK,638,1
931,67,UK,931,0
932,53,India,838,0
933,63,USA,828,0
934,48,Australia,596,0
935,53,India,725,0
936,61,UK,618,0
937,45,USA,903,0
938,45,Australia,270,0
939,33,Canada,400,1
940,59,Australia,729,1
941,61,India,841,0
942,60,India,596,0
943,60,India,441,0
944,67,Australia,929,1
945,23,Germany,639,0
946,49,UK,760,0
947,41,Australia,655,1
948,38,Canada,426,1
949,31,Canada,313,0
950,38,Canada,82,0
951,40,UK,730,0
952,66,USA,915,0
953,38,India,384,1
954,58,UK,161,0
955,21,India,895,0
956,24,UK,598,0
957,34,India,664,0
958,51,UK,28,1
959,58,USA,423,1
960,34,Australia,610,0
961,23,Canada,610,0
962,38,India,517,1
963,65,UK,57,0
964,51,USA,144,0
965,56,USA,86,0
966,64,Canada,936,0
967,27,UK,611,0
968,66,Australia,960,0
969,38,India,532,0
970,21,Australia,878,1
971,32,Germany,376,0
972,32,USA,726,0
973,31,USA,923,1
974,57,Canada,58,1
975,66,UK,447,0
976,20,Germany,968,0
977,59,Germany,227,0
978,69,Germany,791,1
979,67,UK,427,1
980,68,India,779,0
981,27,USA,8,0
982,45,UK,297,0
983,38,Germany,72,1
984,64,USA,911,1
985,57,USA,210,0
986,37,Germany,454,1
987,24,Germany,848,1
988,20,USA,283,0
989,57,Canada,486,0
990,18,Australia,520,1
991,65,Australia,619,0
992,47,USA,966,1
993,36,India,544,0
994,28,India,814,0
995,18,Canada,575,0
996,38,UK,670,0
997,21,USA,924,1
998,48,India,571,0
999,44,USA,837,0
1000,50,Canada,196,1
1001,51,Germany,666,0
1002,22,Canada,227,0
1003,46,Canada,265,1
1004,67,Canada,646,1
1005,61,India,377,0
1006,64,Canada,364,0
1007,38,Germany,728,0
1008,20,Germany,588,0
1009,43,Germany,277,0
1010,43,UK,190,1
1011,52,Canada,692,1
1012,68,Germany,943,0
1013,28,UK,953,0
1014,39,Canada,273,1
1015,28,Canada,862,1
1016,52,USA,289,0
1017,33,Canada,930,0
1018,57,Australia,248,0
1019,56,USA,454,1
1020,18,India,968,0
1021,20,Australia,516,1
1022,64,India,806,0
1023,38,UK,227,1
1024,63,Australia,654,1
1025,34,USA,551,1
1026,30,India,207,0
1027,50,India,646,0
1028,40,India,443,0
1029,63,Canada,550,0
1030,25,USA,702,0
1031,47,India,846,0
1032,66,USA,281,0
1033,31,Germany,154,1
1034,39,Germany,944,1
1035,63,Australia,947,1
1036,36,Canada,713,1
1037,62,Germany,327,0
1038,26,UK,763,0
1039,36,USA,943,0
1040,55,India,437,0
1041,57,UK,465,0
1042,50,Australia,376,0
1043,31,UK,203,0
1044,58,Australia,955,1
1045,58,Germany,708,0
1046,45,USA,776,1
1047,63,Australia,598,1
1048,33,India,477,1
1049,65,UK,670,0
1050,28,Australia,576,1
1051,38,Canada,767,0
1052,65,Australia,276,0
1053,61,India,929,1
1054,26,Germany,445,0
1055,52,USA,977,0
1056,49,Canada,65,0
1057,40,India,431,0
1058,29,Australia,174,1
1059,58,India,659,1
1060,46,UK,406,0
1061,68,India,550,0
1062,46,USA,179,0
1063,24,USA,348,0
1064,39,India,76,0
1065,39,UK,492,1
1066,51,Canada,347,1
1067,18,Australia,584,0
1068,23,Canada,214,0
1069,34,UK,573,0
1070,43,Germany,283,0
1071,59,USA,449,0
1072,62,Germany,753,0
1073,31,Australia,291,0
1074,37,UK,824,0
1075,55,Australia,49,0
1076,25,Germany,555,1
1077,50,UK,602,0
1078,66,Canada,704,0
1079,60,Canada,822,1
1080,26,Germany,344,0
1081,58,Germany,529,0
1082,68,USA,571,0
1083,58,Canada,551,0
1084,28,USA,494,1
1085,30,Germany,127,0
1086,18,Australia,168,0
1087,29,UK,584,1
1088,62,Canada,268,0
1089,50,UK,301,1
1090,45,USA,250,1
1091,42,USA,859,0
1092,47,India,431,0
1093,64,Australia,852,0
1094,19,Canada,324,0
1095,53,Canada,594,0
1096,64,USA,412,0
1097,66,Australia,737,0
1098,68,UK,655,1
1099,19,Canada,959,0
1100,27,USA,450,1
1101,30,India,266,0
1102,68,Germany,118,0
1103,56,Canada,540,0
1104,23,Australia,667,1
1105,46,Germany,678,1
1106,47,UK,296,1
1107,58,India,268,0
1108,18,Canada,311,0
1109,43,Germany,357,0
1110,66,Australia,127,0
1111,40,Germany,408,0
1112,45,USA,277,0
1113,35,Germany,420,0
1114,26,UK,949,1
1115,47,Germany,188,0
1116,49,UK,451,0
1117,61,UK,847,1
1118,40,Australia,360,1
1119,49,USA,825,0
1120,50,India,920,0
1121,45,UK,933,0
1122,54,Germany,568,1
1123,64,Australia,148,0
1124,27,Germany,444,0
1125,52,UK,427,0
1126,44,Australia,126,0
1127,66,Germany,806,1
1128,25,Canada,930,1
1129,29,USA,486,0
1130,21,Germany,625,0
1131,22,USA,926,0
1132,20,UK,75,0
1133,43,UK,155,0
1134,60,UK,448,0
1135,68,USA,818,0
1136,32,Germany,245,0
1137,54,Canada,122,0
1138,59,USA,124,0
1139,40,Australia,646,0
1140,26,Canada,369,0
1141,64,Germany,638,0
1142,62,Germany,736,0
1143,21,USA,69,0
1144,66,India,909,0
1145,39,Canada,821,1
1146,68,UK,899,0
1147,49,Canada,109,0
1148,66,Germany,341,0
1149,61,Australia,533,1
1150,56,Germany,836,0
1151,45,USA,959,0
1152,52,India,909,0
1153,28,UK,996,0
1154,34,Canada,99,1
1155,57,India,214,0
1156,36,UK,165,1
1157,25,Germany,284,1
1158,54,Australia,164,1
1159,44,Germany,117,0
1160,62,USA,559,1
1161,38,USA,758,1
1162,45,Australia,517,1
1163,37,Canada,937,1
1164,29,India,582,0
1165,36,Australia,666,1
1166,61,India,820,1
1167,53,UK,102,0
1168,41,Canada,407,0
1169,28,USA,704,0
1170,67,Canada,465,1
1171,31,Germany,731,0
1172,68,USA,687,1
1173,21,India,903,1
1174,65,USA,511,0
1175,69,Germany,941,0
1176,66,USA,737,1
1177,36,Australia,575,1
1178,22,India,13,1
1179,48,Germany,720,1
1180,39,Australia,349,0
1181,20,UK,566,0
1182,38,Canada,976,1
1183,58,Australia,664,1
1184,47,UK,57,1
1185,52,Germany,19,0
1186,43,Germany,113,0
1187,47,Germany,647,0
1188,53,India,25,0
1189,32,Germany,549,0
1190,25,Canada,901,1
1191,26,India,127,1
1192,52,Germany,194,0
1193,40,India,265,1
1194,31,Canada,384,0
1195,48,Canada,358,0
1196,25,Australia,771,0
1197,30,India,685,0
1198,62,USA,573,0
1199,55,UK,528,0
1200,34,Germany,375,1
1201,33,UK,358,0
1202,19,Canada,474,0
1203,64,UK,927,0
1204,56,USA,451,1
1205,31,UK,632,0
1206,44,Australia,630,0
1207,56,UK,321,0
1208,47,Canada,437,0
1209,36,Canada,53,0
1210,42,Australia,726,0
1211,40,Germany,544,0
