user_id,age,premium_user,favorite_category,secondary_category
190,43,0,Fashion,Gaming
191,40,0,Movies,Books
192,29,0,Education,Movies
193,18,0,Gaming,Movies
194,49,0,Electronics,Books
195,65,0,Books,Gaming
196,62,0,Fashion,Music
197,33,0,Electronics,Education
198,22,0,Music,Movies
199,20,0,Fashion,Movies
200,33,0,Fashion,Electronics
201,39,0,Movies,Fashion
202,31,0,Electronics,Sports
203,64,0,Sports,Gaming
204,63,1,Sports,Gaming
205,22,0,Books,Sports
206,43,1,Gaming,Movies
207,38,0,Fashion,Books
208,50,0,Fashion,Education
209,54,0,Fashion,Movies
210,27,1,Electronics,Fashion
211,53,0,Music,Education
212,48,0,Gaming,Education
213,36,0,Sports,Fashion
214,18,0,Fashion,Education
215,62,0,Books,Movies
216,41,1,Electronics,Education
217,19,0,Education,Books
218,49,1,Sports,Education
219,41,0,Education,Fashion
220,52,0,Movies,Education
221,50,1,Sports,Books
222,60,1,Electronics,Gaming
223,20,1,Sports,Movies
224,57,1,Music,Fashion
225,61,0,Books,Education
226,29,0,Movies,Fashion
227,19,0,Gaming,Music
228,67,0,Music,Electronics
229,34,0,Books,Sports
230,46,1,Fashion,Music
231,43,0,Movies,Electronics
232,68,0,Books,Music
233,21,0,Gaming,Fashion
234,67,0,Music,Sports
235,46,0,Books,Movies
236,42,1,Sports,Fashion
237,53,0,Electronics,Gaming
238,26,0,Gaming,Electronics
239,52,1,Sports,Fashion
240,65,0,Gaming,Electronics
241,66,1,Music,Movies
242,41,1,Music,Gaming
243,49,1,Books,Gaming
244,66,0,Movies,Music
245,40,1,Movies,Gaming
246,58,0,Gaming,Fashion
247,66,0,Gaming,Music
248,65,0,Movies,Music
249,30,1,Fashion,Books
250,66,0,Gaming,Music
251,58,1,Gaming,Music
252,26,0,Fashion,Music
253,31,0,Movies,Sports
254,69,0,Electronics,Sports
255,64,0,Movies,Books
256,22,0,Gaming,Education
257,42,0,Music,Sports
258,38,1,Education,Sports
259,40,1,Sports,Music
260,56,0,Education,Gaming
261,59,1,Fashion,Gaming
262,31,0,Books,Sports
263,22,1,Music,Electronics
264,46,0,Sports,Gaming
265,35,1,Movies,Books
266,26,1,Sports,Books
267,61,1,Electronics,Books
268,55,0,Sports,Movies
269,30,0,Books,Movies
270,26,1,Gaming,Music
271,19,0,Sports,Gaming
272,54,0,Gaming,Sports
273,25,0,Gaming,Books
274,18,1,Fashion,Gaming
275,34,1,Electronics,Education
276,42,0,Books,Education
277,53,0,Gaming,Books
278,48,0,Fashion,Education
279,61,0,Education,Electronics
280,44,0,Sports,Education
281,36,0,Books,Movies
282,20,0,Fashion,Education
283,67,0,Education,Music
284,37,0,Music,Education
285,58,1,Education,Movies
286,20,0,Gaming,Education
287,66,0,Education,Books
288,50,0,Education,Sports
289,23,1,Movies,Education
290,62,1,Sports,Education
291,64,1,Movies,Education
292,38,1,Education,Music
293,54,0,Sports,Fashion
294,36,1,Education,Electronics
295,35,0,Movies,Books
296,66,0,Movies,Fashion
297,48,1,Music,Movies
298,20,1,Books,Fashion
299,28,0,Fashion,Books
300,49,0,Gaming,Music
301,55,0,Fashion,Gaming
302,45,0,Sports,Electronics
303,45,0,Gaming,Sports
304,25,0,Music,Movies
305,67,0,Education,Sports
306,54,1,Electronics,Fashion
307,44,0,Gaming,Sports
308,34,0,Electronics,Education
309,37,0,Gaming,Sports
310,65,0,Electronics,Sports
311,63,0,Movies,Education
312,23,1,Gaming,Education
313,22,0,Gaming,Movies
314,19,0,Sports,Movies
315,47,1,Sports,Fashion
316,62,0,Gaming,Sports
317,50,1,Electronics,Movies
318,35,1,Music,Gaming
319,66,0,Gaming,Music
320,43,0,Fashion,Education
321,39,1,Education,Books
322,66,1,Electronics,Movies
323,51,0,Electronics,Books
324,18,0,Gaming,Books
325,23,0,Education,Books
326,22,1,Electronics,Sports
327,55,1,Gaming,Fashion
328,40,1,Sports,Movies
329,54,1,Music,Fashion
330,36,0,Gaming,Fashion
331,31,0,Gaming,Fashion
332,18,1,Books,Movies
333,30,0,Electronics,Gaming
334,18,0,Electronics,Sports
335,49,0,Sports,Gaming
336,48,0,Books,Education
337,43,0,Electronics,Education
338,20,0,Electronics,Fashion
339,29,1,Sports,Education
340,61,0,Electronics,Music
341,47,1,Fashion,Books
342,34,0,Fashion,Movies
343,64,0,Books,Music
344,54,0,Sports,Movies
345,19,1,Movies,Education
346,56,0,Music,Books
347,51,0,Books,Education
348,51,0,Fashion,Sports
349,32,0,Books,Music
350,51,0,Electronics,Sports
351,55,0,Gaming,Sports
352,32,0,Sports,Electronics
353,59,1,Sports,Electronics
354,22,1,Movies,Education
355,27,1,Books,Education
356,27,1,Electronics,Sports
357,37,0,Gaming,Music
358,51,0,Music,Electronics
359,19,0,Music,Electronics
360,60,0,Gaming,Education
361,28,0,Education,Electronics
362,40,0,Gaming,Fashion
363,48,0,Education,Music
364,33,0,Fashion,Movies
365,57,0,Fashion,Gaming
366,42,1,Movies,Music
367,20,0,Education,Sports
368,49,0,Gaming,Education
369,68,0,Movies,Fashion
370,22,0,Sports,Education
371,59,0,Books,Sports
372,38,0,Education,Books
373,22,0,Education,Movies
374,43,1,Gaming,Fashion
375,66,0,Electronics,Movies
376,62,0,Music,Books
377,43,1,Education,Books
378,39,0,Music,Education
379,47,0,Movies,Fashion
380,65,0,Movies,Music
381,43,1,Movies,Music
382,25,1,Electronics,Music
383,69,0,Sports,Electronics
384,39,0,Sports,Gaming
385,45,0,Gaming,Sports
386,41,1,Sports,Gaming
387,43,0,Education,Music
388,68,1,Education,Sports
389,64,1,Electronics,Books
390,60,0,Movies,Books
391,62,1,Gaming,Music
392,55,0,Sports,Fashion
393,32,0,Music,Sports
394,54,0,Music,Sports
395,56,0,Music,Fashion
396,56,0,Education,Fashion
397,61,0,Movies,Fashion
398,30,0,Sports,Electronics
399,21,0,Sports,Fashion
400,58,0,Books,Gaming
401,64,0,Fashion,Books
402,39,0,Sports,Gaming
403,25,0,Education,Fashion
404,61,0,Movies,Electronics
405,58,0,Sports,Fashion
406,69,0,Sports,Fashion
407,51,0,Fashion,Sports
408,62,0,Electronics,Gaming
409,50,0,Fashion,Sports
410,38,0,Electronics,Books
411,65,0,Movies,Gaming
412,28,0,Fashion,Gaming
413,47,0,Education,Electronics
414,26,0,Electronics,Music
415,68,0,Movies,Sports
416,54,1,Education,Sports
417,48,1,Music,Books
418,37,1,Electronics,Sports
419,21,0,Education,Electronics
420,66,0,Books,Movies
421,55,0,Education,Electronics
422,19,0,Electronics,Fashion
423,25,0,Fashion,Education
424,62,1,Movies,Electronics
425,23,1,Sports,Electronics
426,21,0,Gaming,Movies
427,50,1,Sports,Education
428,29,0,Gaming,Sports
429,43,1,Education,Fashion
430,55,0,Gaming,Fashion
431,28,1,Electronics,Music
432,30,0,Books,Education
433,50,0,Sports,Gaming
434,27,0,Sports,Fashion
435,27,1,Books,Fashion
436,30,0,Sports,Books
437,37,0,Books,Fashion
438,54,0,Electronics,Movies
439,26,0,Education,Music
440,41,0,Education,Fashion
441,52,0,Electronics,Fashion
442,66,1,Movies,Gaming
443,61,0,Movies,Gaming
444,28,1,Education,Electronics
445,29,0,Sports,Fashion
446,18,1,Sports,Movies
447,39,0,Books,Music
448,46,0,Sports,Gaming
449,58,1,Fashion,Sports
450,47,1,Fashion,Electronics
451,54,1,Electronics,Fashion
452,31,0,Movies,Music
453,21,0,Movies,Sports
454,59,0,Books,Movies
455,57,0,Movies,Gaming
456,57,0,Gaming,Fashion
457,68,0,Education,Sports
458,50,1,Books,Music
459,32,0,Electronics,Movies
460,34,1,Music,Movies
461,19,0,Movies,Electronics
462,57,0,Books,Fashion
463,56,0,Electronics,Education
464,23,0,Movies,Music
465,68,0,Electronics,Education
466,69,1,Fashion,Movies
467,46,0,Education,Fashion
468,47,1,Fashion,Music
469,53,1,Gaming,Music
470,50,1,Education,Electronics
471,44,1,Education,Fashion
472,21,0,Gaming,Fashion
473,27,0,Music,Gaming
474,27,0,Books,Education
475,55,0,Fashion,Sports
476,64,1,Gaming,Music
477,41,0,Education,Fashion
478,32,1,Gaming,Education
479,22,0,Electronics,Movies
480,21,1,Books,Sports
481,19,0,Movies,Fashion
482,68,0,Books,Education
483,53,1,Gaming,Education
484,44,0,Electronics,Gaming
485,28,1,Education,Sports
486,57,0,Electronics,Fashion
487,25,0,Music,Movies
488,43,1,Education,Music
489,29,1,Education,Gaming
490,57,0,Electronics,Fashion
491,42,0,Movies,Music
492,57,1,Fashion,Sports
493,29,0,Education,Music
494,65,0,Education,Electronics
495,54,1,Electronics,Gaming
496,59,1,Sports,Gaming
497,48,0,Fashion,Sports
498,68,1,Electronics,Music
499,57,1,Gaming,Electronics
500,28,0,Sports,Education
501,63,0,Books,Movies
502,43,1,Books,Gaming
503,40,1,Fashion,Movies
504,68,0,Movies,Music
505,38,0,Movies,Sports
506,26,0,Education,Sports
507,43,0,Sports,Movies
508,69,0,Fashion,Movies
509,28,1,Sports,Music
510,24,0,Fashion,Education
511,51,1,Books,Sports
512,60,0,Gaming,Fashion
513,68,0,Movies,Education
514,42,0,Electronics,Sports
515,23,0,Movies,Education
516,50,0,Education,Gaming
517,60,0,Fashion,Movies
518,45,0,Education,Fashion
519,66,0,Music,Movies
520,37,0,Gaming,Sports
521,37,0,Music,Education
522,45,0,Sports,Gaming
523,57,0,Sports,Music
524,18,0,Gaming,Books
525,47,1,Gaming,Electronics
526,36,0,Music,Gaming
527,47,0,Education,Music
528,62,0,Gaming,Sports
529,33,0,Fashion,Movies
530,35,0,Electronics,Fashion
531,68,0,Music,Education
532,19,0,Books,Education
533,66,0,Education,Electronics
534,55,1,Education,Electronics
535,21,0,Fashion,Movies
536,46,0,Fashion,Electronics
537,20,0,Education,Gaming
538,27,1,Movies,Fashion
539,51,0,Gaming,Music
540,40,1,Books,Education
541,49,1,Music,Education
542,46,0,Gaming,Fashion
543,20,0,Education,Gaming
544,25,0,Electronics,Music
545,64,0,Books,Fashion
546,68,0,Movies,Books
547,64,1,Books,Movies
548,52,0,Books,Education
549,31,0,Books,Movies
550,63,1,Fashion,Gaming
551,21,1,Movies,Electronics
552,38,0,Electronics,Sports
553,65,0,Electronics,Sports
554,27,0,Music,Fashion
555,40,1,Gaming,Books
556,65,0,Sports,Music
557,53,0,Gaming,Movies
558,35,1,Fashion,Books
559,64,0,Fashion,Electronics
560,28,0,Gaming,Movies
561,19,0,Sports,Movies
562,29,1,Fashion,Books
563,54,0,Education,Music
564,47,0,Movies,Sports
565,61,0,Movies,Gaming
566,39,1,Electronics,Education
567,34,1,Education,Fashion
568,63,0,Fashion,Electronics
569,49,0,Education,Fashion
570,68,0,Movies,Gaming
571,26,0,Gaming,Music
572,62,0,Movies,Sports
573,26,0,Movies,Books
574,60,0,Gaming,Education
575,43,0,Education,Electronics
576,62,0,Sports,Movies
577,54,0,Music,Movies
578,35,0,Movies,Gaming
579,59,0,Movies,Electronics
580,55,0,Gaming,Fashion
581,54,0,Electronics,Music
582,29,0,Electronics,Music
583,59,0,Education,Gaming
584,44,1,Movies,Education
585,23,1,Sports,Music
586,51,0,Music,Books
587,24,0,Sports,Music
588,34,0,Movies,Gaming
589,45,1,Fashion,Gaming
590,63,0,Books,Gaming
591,60,0,Electronics,Sports
592,53,1,Education,Electronics
593,46,0,Music,Gaming
594,57,0,Fashion,Electronics
595,53,1,Movies,Fashion
596,56,0,Gaming,Books
597,51,0,Sports,Books
598,41,1,Music,Movies
599,22,0,Movies,Education
600,53,0,Fashion,Sports
601,36,0,Education,Gaming
602,60,1,Movies,Gaming
603,62,0,Music,Education
604,26,1,Books,Movies
605,26,0,Books,Fashion
606,34,0,Sports,Education
607,60,0,Gaming,Education
608,42,0,Music,Electronics
609,20,0,Gaming,Electronics
610,61,0,Movies,Music
611,47,0,Books,Movies
612,29,0,Music,Gaming
613,61,1,Movies,Music
614,66,0,Gaming,Education
615,27,0,Music,Electronics
616,66,0,Sports,Movies
617,33,1,Electronics,Music
618,25,0,Music,Movies
619,34,0,Sports,Gaming
620,33,1,Books,Gaming
621,42,1,Education,Music
622,29,0,Movies,Gaming
623,43,0,Gaming,Electronics
624,43,0,Fashion,Electronics
625,27,0,Electronics,Sports
626,34,0,Education,Electronics
627,38,0,Books,Fashion
628,24,0,Fashion,Movies
629,24,0,Education,Fashion
630,65,0,Gaming,Movies
631,40,1,Fashion,Movies
632,48,1,Books,Education
633,56,0,Education,Movies
634,59,0,Gaming,Fashion
635,31,0,Electronics,Gaming
636,52,0,Music,Books
637,62,0,Education,Sports
638,54,0,Sports,Education
639,43,1,Music,Electronics
640,61,0,Music,Movies
641,66,0,Music,Electronics
642,39,0,Gaming,Fashion
643,35,0,Sports,Electronics
644,62,0,Education,Electronics
645,19,0,Sports,Gaming
646,59,1,Electronics,Books
647,30,0,Music,Books
648,49,1,Fashion,Education
649,56,0,Sports,Electronics
650,46,1,Sports,Music
651,46,0,Sports,Education
652,61,0,Sports,Fashion
653,61,1,Fashion,Education
654,27,0,Electronics,Sports
655,56,0,Fashion,Books
656,18,0,Movies,Education
657,20,0,Fashion,Electronics
658,47,1,Electronics,Fashion
659,35,0,Electronics,Sports
660,42,0,Sports,Music
661,63,0,Music,Electronics
662,32,0,Fashion,Sports
663,41,0,Electronics,Fashion
664,54,1,Gaming,Movies
665,60,0,Books,Gaming
666,56,1,Books,Movies
667,63,0,Education,Gaming
668,30,1,Music,Movies
669,24,1,Books,Movies
670,25,1,Sports,Music
671,68,0,Electronics,Gaming
672,27,0,Movies,Sports
673,43,0,Electronics,Books
674,20,1,Education,Gaming
675,22,0,Gaming,Sports
676,64,0,Books,Movies
677,26,1,Education,Electronics
678,66,0,Books,Sports
679,59,0,Fashion,Electronics
680,35,0,Fashion,Sports
681,41,1,Music,Sports
682,52,0,Movies,Sports
683,64,0,Gaming,Electronics
684,21,0,Books,Education
685,51,0,Sports,Movies
686,20,0,Education,Books
687,46,1,Gaming,Fashion
688,42,1,Education,Sports
689,59,1,Gaming,Music
690,57,1,Books,Sports
691,28,0,Gaming,Fashion
692,41,0,Movies,Fashion
693,55,0,Fashion,Gaming
694,22,0,Education,Electronics
695,35,0,Books,Education
696,65,0,Books,Electronics
697,22,1,Gaming,Electronics
698,67,0,Music,Education
699,49,0,Fashion,Music
700,68,1,Electronics,Music
701,57,0,Music,Gaming
702,44,1,Books,Movies
703,50,1,Music,Education
704,36,1,Gaming,Education
705,45,1,Electronics,Sports
706,65,1,Movies,Fashion
707,60,0,Books,Music
708,59,0,Sports,Books
709,44,1,Education,Books
710,24,1,Books,Sports
711,62,1,Music,Electronics
712,68,1,Movies,Music
713,59,0,Sports,Education
714,60,0,Gaming,Education
715,56,0,Electronics,Music
716,53,0,Movies,Electronics
717,30,0,Fashion,Sports
718,56,0,Movies,Fashion
719,30,0,Music,Electronics
720,66,0,Fashion,Education
721,57,0,Fashion,Music
722,41,1,Gaming,Electronics
723,65,0,Fashion,Gaming
724,47,0,Electronics,Books
725,58,1,Sports,Movies
726,45,0,Gaming,Sports
727,47,1,Music,Books
728,39,1,Music,Fashion
729,49,1,Music,Education
730,21,0,Books,Electronics
731,34,1,Fashion,Books
732,34,0,Electronics,Gaming
733,18,0,Books,Sports
734,35,1,Education,Music
735,64,1,Gaming,Sports
736,53,0,Education,Sports
737,69,1,Movies,Books
738,24,0,Books,Sports
739,50,0,Gaming,Electronics
740,32,1,Movies,Gaming
741,28,0,Education,Movies
742,43,0,Movies,Electronics
743,51,1,Sports,Movies
744,34,0,Electronics,Books
745,58,0,Sports,Fashion
746,46,0,Sports,Education
747,69,1,Fashion,Education
748,64,0,Movies,Fashion
749,39,0,Music,Electronics
750,20,1,Electronics,Movies
751,61,0,Gaming,Books
752,46,1,Fashion,Movies
753,33,1,Sports,Music
754,37,0,Music,Electronics
755,22,1,Gaming,Education
756,18,0,Electronics,Movies
757,55,0,Electronics,Movies
758,52,0,Books,Education
759,42,1,Music,Movies
760,35,1,Gaming,Movies
761,33,0,Gaming,Music
762,63,0,Gaming,Fashion
763,46,1,Books,Movies
764,32,0,Electronics,Sports
765,67,1,Fashion,Education
766,20,1,Education,Gaming
767,61,0,Music,Electronics
768,20,0,Gaming,Education
769,32,0,Books,Fashion
770,31,0,Gaming,Movies
771,61,0,Gaming,Movies
772,26,0,Books,Movies
773,39,0,Movies,Gaming
774,19,1,Music,Books
775,28,1,Music,Education
776,34,0,Fashion,Electronics
777,35,0,Books,Music
778,35,0,Sports,Education
779,48,1,Music,Fashion
780,28,0,Fashion,Books
781,50,1,Books,Fashion
782,58,0,Movies,Books
783,39,1,Fashion,Music
784,58,0,Fashion,Education
785,63,0,Books,Fashion
786,33,0,Education,Sports
787,45,1,Education,Music
788,27,1,Music,Education
789,67,0,Music,Books
790,19,0,Education,Electronics
791,58,0,Education,Sports
792,50,1,Movies,Education
793,43,0,Movies,Music
794,19,1,Electronics,Sports
795,43,0,Books,Sports
796,67,1,Education,Sports
797,59,0,Electronics,Books
798,66,1,Music,Education
799,20,1,Movies,Electronics
800,26,1,Books,Music
801,56,0,Gaming,Sports
802,58,1,Electronics,Movies
803,25,1,Sports,Fashion
804,45,1,Education,Movies
805,64,1,Fashion,Electronics
806,24,0,Education,Electronics
807,33,0,Music,Gaming
808,39,0,Books,Music
809,20,0,Fashion,Electronics
810,59,0,Sports,Gaming
811,35,0,Education,Sports
812,40,0,Fashion,Sports
813,42,1,Music,Fashion
814,36,1,Gaming,Sports
815,53,1,Music,Gaming
816,46,1,Electronics,Education
817,49,0,Music,Electronics
818,35,0,Music,Electronics
819,36,0,Gaming,Fashion
820,49,0,Movies,Gaming
821,20,0,Fashion,Sports
822,68,0,Books,Music
823,46,0,Fashion,Sports
824,32,0,Movies,Gaming
825,29,0,Gaming,Books
826,38,1,Books,Sports
827,41,0,Gaming,Music
828,21,1,Music,Education
829,37,0,Fashion,Gaming
830,67,1,Books,Gaming
831,49,0,Gaming,Movies
832,51,0,Music,Electronics
833,19,0,Music,Fashion
834,53,0,Fashion,Books
835,59,1,Music,Education
836,29,0,Education,Books
837,35,0,Sports,Books
838,32,0,Fashion,Electronics
839,43,1,Movies,Education
840,65,0,Books,Music
841,59,0,Electronics,Gaming
842,31,0,Music,Education
843,54,1,Fashion,Music
844,62,0,Gaming,Books
845,64,0,Fashion,Books
846,56,0,Fashion,Gaming
847,19,0,Education,Electronics
848,34,0,Gaming,Fashion
849,45,0,Sports,Movies
850,54,0,Movies,Education
851,18,1,Education,Books
852,53,1,Sports,Fashion
853,64,0,Education,Gaming
854,27,0,Sports,Fashion
855,31,0,Education,Sports
856,46,0,Movies,Education
857,47,0,Gaming,Movies
858,22,0,Gaming,Books
859,60,1,Sports,Education
860,37,0,Fashion,Education
861,60,1,Movies,Electronics
862,54,0,Education,Gaming
863,66,1,Music,Movies
864,61,0,Books,Gaming
865,64,1,Books,Sports
866,61,0,Books,Education
867,37,0,Fashion,Sports
868,19,0,Education,Movies
869,54,1,Fashion,Education
870,46,0,Gaming,Electronics
871,52,0,Sports,Education
872,22,0,Education,Fashion
873,68,0,Electronics,Movies
874,59,0,Electronics,Movies
875,67,1,Music,Books
876,60,0,Gaming,Electronics
877,42,0,Music,Books
878,56,0,Electronics,Sports
879,64,0,Books,Education
880,40,0,Music,Education
881,37,0,Fashion,Books
882,62,0,Electronics,Sports
883,67,0,Education,Music
884,25,1,Fashion,Education
885,18,1,Education,Sports
886,46,0,Electronics,Books
887,22,1,Electronics,Sports
888,64,0,Sports,Education
889,43,0,Fashion,Music
890,47,0,Gaming,Electronics
891,34,1,Movies,Books
892,64,0,Movies,Electronics
893,29,0,Electronics,Fashion
894,42,0,Gaming,Music
895,50,0,Education,Electronics
896,48,0,Books,Education
897,65,0,Education,Movies
898,43,0,Electronics,Gaming
899,19,1,Sports,Gaming
900,23,0,Fashion,Sports
901,50,0,Gaming,Electronics
902,65,1,Music,Books
903,30,0,Gaming,Books
904,28,1,Books,Music
905,55,0,Music,Electronics
906,55,0,Electronics,Movies
907,51,1,Education,Electronics
908,58,0,Gaming,Fashion
909,62,1,Movies,Gaming
910,41,0,Electronics,Sports
911,24,0,Books,Sports
912,32,0,Sports,Gaming
913,24,0,Books,Education
914,36,0,Music,Books
915,42,0,Electronics,Sports
916,49,0,Music,Education
917,61,0,Fashion,Education
918,28,0,Education,Music
919,63,0,Education,Music
920,19,0,Fashion,Education
921,20,0,Fashion,Electronics
922,25,0,Education,Electronics
923,23,1,Movies,Books
924,46,0,Electronics,Education
925,29,0,Sports,Electronics
926,65,0,Music,Fashion
927,61,0,Gaming,Education
928,60,1,Education,Fashion
929,23,1,Electronics,Education
930,61,1,Sports,Fashion
931,62,1,Music,Education
932,60,0,Electronics,Education
933,64,0,Music,Fashion
934,32,0,Books,Education
935,28,0,Music,Sports
936,21,1,Gaming,Music
937,39,0,Education,Sports
938,31,0,Music,Books
939,65,0,Education,Music
940,63,0,Education,Fashion
941,64,0,Movies,Education
942,25,0,Books,Gaming
943,53,1,Gaming,Electronics
944,19,0,Gaming,Movies
945,21,1,Fashion,Music
946,47,0,Movies,Fashion
947,48,1,Books,Electronics
948,56,0,Music,Gaming
949,24,0,Movies,Fashion
950,66,0,Education,Movies
951,59,1,Gaming,Books
952,37,0,Education,Fashion
953,24,1,Education,Electronics
954,61,0,Music,Movies
955,59,0,Gaming,Fashion
956,30,0,Electronics,Books
957,38,1,Gaming,Fashion
958,26,1,Fashion,Electronics
959,32,0,Fashion,Education
960,59,1,Education,Electronics
961,33,0,Fashion,Electronics
962,44,1,Sports,Education
963,67,1,Music,Fashion
964,53,0,Gaming,Movies
965,27,1,Electronics,Music
966,36,0,Fashion,Gaming
967,50,0,Education,Fashion
968,22,0,Music,Sports
969,52,1,Books,Music
970,50,0,Fashion,Music
971,34,0,Music,Sports
972,54,0,Music,Gaming
973,45,0,Movies,Books
974,28,0,Books,Electronics
975,31,0,Fashion,Movies
976,42,1,Gaming,Movies
977,52,0,Books,Sports
978,35,0,Movies,Gaming
979,56,1,Education,Books
980,28,1,Movies,Gaming
981,63,0,Education,Books
982,43,0,Books,Fashion
983,49,0,Books,Movies
984,63,0,Fashion,Gaming
985,54,1,Education,Electronics
986,20,0,Music,Gaming
987,50,0,Music,Gaming
988,58,0,Books,Music
989,30,0,Movies,Fashion
990,19,0,Fashion,Gaming
991,61,0,Fashion,Education
992,38,0,Music,Movies
993,25,0,Sports,Electronics
994,61,0,Sports,Education
995,20,0,Fashion,Books
996,19,1,Education,Electronics
